Movie_Name,Storyline
1. Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
2. Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
3. I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain."
4. Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
5. Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
6. Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
7. No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
8. Exhuma,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
9. Upgraded,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relationship."
10. Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
11. Lisa Frankenstein,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
12. Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
13. Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
14. Imaginary,A woman returns to her childhood home to discover that the imaginary friend she left behind is very real and unhappy that she abandoned him.
15. A Million Minutes,"Vera and Wolf Küper, parents to Nina and Simon, navigate work and family stress. Their world gets shaken with Nina's motor disorder diagnosis, reminding Wolf of her wish for a million minutes, just for the really nice things."
16. Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.
17. Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival."
18. Red Right Hand,"Cash is trying to live an honest and quiet life, but when Big Cat forces him back into her services, he proves capable of anything to protect the town and the only family he has left."
19. Force of Nature,Five women participate in a hiking retreat but only four come out the other side. Federal agents Aaron Falk and Carmen Cooper head into the mountains hoping to find their informant still alive.
20. The Fable,"After discovering burned trees in his orchards, a wealthy landowner grows suspicious of his workers and nomads passing through his vast estate."
21. Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark."
22. My Favourite Cake,"Seventy-year-old Mahin, solitary until now, chooses to revive her love life. A chance encounter becomes an unforgettable evening."
23. Marmalade,"Baron teams up with his cellmate Otis to plan an escape, all while remembering how he fell for Marmalade and joined her in a risky bank robbery to support his sick mother and pursue a better future."
24. Drugstore June,"After the pharmacy in her small town is robbed, a girl who still lives at home with her parents takes matters into her own hands to solve the crime, while at the same time trying to get over her ex-boyfriend and become more of an adult."
25. Parallel,"Follows the journey of Vanessa, a grief-stricken woman who mysteriously finds herself navigating between parallel spaces."
26. Sex,Follows two colleagues who in different ways struggle with the same issues about their sexuality.
27. Chime,A school teacher is woken by a sound that fills him with dread.
28. Manjummel Boys,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back."
29. The Devil's Bath,"Austria in the 18th century. Forests surround villages. Killing a baby gets a woman sentenced to death. Agnes readies for married life with her beloved. But her mind and heart grow heavy. A gloomy path alone, evil thoughts arising."
30. La Cocina,"In the heart of a bustling Times Square kitchen, dreams and desperation collide as the staff each chase the elusive American dream."
31. She's Obsessed with My Husband,"A woman moves in next door to her ex high school boyfriend, he's now married, and she schemes to end his marriage so she can become his wife instead."
32. Players,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment."
33. The Empire,A small village of Northern France is the battleground of undercover extraterrestrial knights.
34. Haikyu!! The Dumpster Battle,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round."
35. Lover Stalker Killer,"In this twisting documentary, a mechanic tries online dating for the first time and meets a woman who takes romantic obsession to a deadly extreme."
36. Through My Window: Looking at You,"After the events of the summer, Ares and Raquel can't find a way to carry on their relationship and decide to go their separate ways. When they see each other again in winter, the love and attraction they feel for each other is undeniable."
37. Premalu,"Sachin's quest for love takes unexpected turns, creating a laughter-filled love triangle."
38. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
39. Lover,"Arun and Divya's six-year relationship starts unraveling as they drift apart, raising the question of whether love can withstand such differences."
40. The Roundup: Punishment,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization."
41. French Girl,"Gordon Kinski, a high school teacher from Brooklyn, goes with his girlfriend and chef Sophie Tremblay to her hometown of Quebec City where she is testing for the Michelin 3-star restaurant of super-chef Ruby Collins."
42. Article 370,"Ahead of a major constitutional decision, special agent Zooni Haksar is tasked with a secret mission to quell violence in a conflict-ridden region."
43. Arcadia,"Radiant psychologist Katerina has to confront her worst suspicions as she accompanies Yannis, an early once-respected doctor, to identify the victim of a tragic car accident at an off-season seaside resort."
44. Bramayugam,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny."
45. Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
46. Lights Out,"A drifting ex-soldier turns underground fighter with the help of a just released ex-con, pitting them both against a crime boss, corrupt cops and hired killers."
47. Teri Baaton Mein Aisa Uljha Jiya,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it's an impossible love story."
48. Lola,"Lola James works to save enough money to get her little brother, Arlo, out of their toxic home. Arlo keeps her hopeful, until one tragic night, when her whole world gets uprooted. From that moment on, nothing will ever be the same."
49. Queen of Bones,"In 1931 Oregon, twins Lily and Sam defy their father's silence to uncover the dark supernatural ties behind their mother's death on their isolated homestead."
50. Intercepted,Destruction in Ukraine war shown through lengthy tableaux. Soldiers' phone calls to families reveal parallel world. Sound and image confront one another.
51. Anweshippin Kandethum,Revolves around two major crimes that shook kerala and the subsequent inquiry into the cases by sop.
52. Iconic,A beauty influencer living in Los Angeles gradually loses her grip on reality.
53. Pegasus 2,"A former rally driving champion, now down on his luck, finds new partners to re-enter a famed rally race."
54. Mai,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?"
55. The Visitor,"A refugee arrives at the home of an upper-class family in London and seduces each member of the family. When he suddenly is gone, he leaves behind a void that the rest try to fill in different ways."
56. Bau: Artist at War,"The inspiring love story of Joseph Bau, artist, forger, holocaust survivor. Using his artistic skills, humor and hope in the camps, Joseph stays alive and helps hundreds to escape. Miraculously, he finds love in the midst of despair."
57. Yolo,"After an argument with her younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing."
58. Passport to Love,"A successful international travel writer, Nicole, has scored a dream seaside rental to research her newest vacation article only to discover it has accidentally been booked also by Kade, a marketing rep for a competing travel magazine."
59. Code 8: Part II,Follows a girl fighting to get justice for her brother who was slain by corrupt police officers. She enlists the help of an ex-con and his former partner to face off against a highly regarded and well-protected police sergeant.
60. Pretty Teacher,"Yoga teacher Ann is trying to find inner peace despite having a manic family, a miserable dating life, and an inability to say no that keeps her busy trying to fix everyone else's problems."
61. Dahomey,"The journey of 26 plundered royal treasures from the Kingdom of Dahomey exhibited in Paris, now being returned to Benin. Diop artistically voices a new generation's demands."
62. This Is Me... Now,This narrative-driven odyssey that coincides with the release of her same-named album tells the story of Jennifer Lopez's journey to love through her own eyes.
63. Made in England: The Films of Powell and Pressburger,"Features rare archival material from the personal collections of Powell, Pressburger and Scorsese."
64. The Corpse Washer,"Lela, a mortician, grapples with uncovering the truth behind her mother's mysterious deaths while haunted by spirits and burdened by the weight of untold secrets."
65. Bhakshak,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.
66. The Tiger's Apprentice,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
67. The Train of Death,"Bloody terror wiped out the Sangkara Train carriages one by one, putting passengers at risk of life and death."
68. Treasure,"An American journalist travels to Poland with her Holocaust survivor father to visit the places of his childhood. However, he sabotages the trip by avoiding reliving his trauma."
69. Sex-Positive,"Virginia tumbles into a wild and thrilling new world of sexual liberation when she moves in with a group of polyamorous party animals, including the charming but commitment-phobic Jake."
70. Calamity Jane,"After her husband-to-be Wild Bill Hickok is killed in an infamous poker game, Calamity Jane must break out of prison and find his murderers before Deadwood's Sheriff can arrest her."
71. Mascarpone: The Rainbow Cake,"After three years, Antonio and Luca are reunited. Antonio, a successful pastry chef, still has feelings for Luca, who is now engaged to Tancredi. Antonio is convinced that the past has come back to help them."
72. Daniel Howell: We're All Doomed!,"A professionally filmed performance of Daniel Howell's one-man comedy show at Alexandra Palace Theatre in London, England."
73. Architecton,"An extraordinary journey through the material that makes up our habitat: concrete and its ancestor, stone."
74. Reawakening,A couple whose daughter aged 14 went missing and then reappears after a decade.
75. Sons,The idealistic prison officer Eva is faced with the dilemma of her life when a young man from her past gets transferred to the prison where she works.
76. Dying,Lissy enjoys husband Gerd's deterioration in a home. Her joy is temporary as her health rapidly declines.
"77. From Hilde, with Love","In Berlin 1942, Hilde is a member of an anti-Nazi group. She falls in love with another member, Hans. The two spend a summer together until they get caught by the Gestapo and Hilde is imprisoned, eight months pregnant."
78. Meanwhile on Earth,"A 23-year-old girl is contacted by an unknown life form claiming to be able to bring her older brother, who disappeared during a space mission, safely back to Earth."
79. Funny Birds,"Thrown together under tragic circumstances, three generations of women from the same family are forced to learn to live together on a small rural chicken farm in New Jersey, which generates moving and amusing situations."
80. Above the Dust,"Ten-year-old dreams of water pistol. Grandfather promises it as ghost after death. Hunt ensues, blurring dreams, reality, past, present. Portraits generations' love of rural China land."
81. Color of Victory,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup"""
82. This Is the Goat!,"France, 1640. Lawyer Maitre Pompignac has never won a case: all his clients are dead, either drawn and quartered, impaled or scalded... One day, a young woman comes to him and asks him to defend an innocent girl: 11-year-old Roxane, wrongly accused of killing a Marshal of France. Pompignac accepts, without realising that Roxane is in fact not an 11-year-old child, but a goat."
83. My Fault,"A criminal defense attorney, unhappy in her marriage, finds herself seduced by her mysterious new client, an artist accused of murdering his girlfriend."
84. Crossing,"Lia, a retired teacher, has promised to find her long-lost niece, Tekla. Her search takes her to Istanbul where she meets Evrim, a lawyer fighting for trans rights, and Tekla starts to feel closer than ever."
85. Katas,"Carmina works as a maid in a mansion and soon learns about the dirty secret of their masters, Alex and Grace."
86. Stripped: Nashville,"This observational documentary follows the lives of Nashville's most dynamic exotic dancers over the course of several days - highlighting their skills as dancers, upbringing, personal relationships and business acumen."
87. The Day Everything Changed,"Mario, used to be a man who had planned a happy future with his wife; until one night, a robbery ends up taking her life. From that moment on, his only objective is now to avenge on those who took away his happiness."
88. Air Force One Down,A rookie agent aboard the hijacked Air Force One battle terrorists threatening the energy deal and the president.
89. The Bloody Hundredth,It honors the heroes of the 100th Bomb Group.
90. Mongol,"Young Mongol is in love with daughter of his Lord. Her Father condemns him as a criminal and names him an outlaw. Mongol must navigate world full of treachery and deception, fighting for survival and justice."
