Movie_Name,Storyline
1. Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
2. Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
3. Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
4. Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
5. Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church."
6. It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
7. Scared to Death,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force."
8. The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.
9. Subservience,"A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness."
10. Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
11. Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
12. The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
13. September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group."
14. Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
15. Minor Leaguer,"A minor league hockey player struggles with the massive ego of his team's new owner, a hockey legend who was once his childhood hero."
16. Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence."
17. The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life."
18. Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975)."
19. Nickel Boys,A powerful friendship develops between two young Black men as they navigate the harrowing trials of reform school together.
20. The Killer,"After being betrayed by her master, a disillusioned assassin takes one final shot with the intention of using the money to help a musician she accidentally blinded regain vision."
21. The 4:30 Movie,A group of teens in the 1980s spend the day theater-hopping.
22. The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
23. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge."
24. Greedy People,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.
25. Stream,"The Keenan family's simple weekend getaway truly turns into a vacation to die for, as four deranged killers playing a sadistic game lock down their hotel and compete for the most creative murders of all the guests."
26. Jackpot!,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot."
27. Maria,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity."
28. Hellboy: The Crooked Man,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man."
29. The Forge,"After graduating from high school without any plans for the future, Isaiah receives a push to start making better life decisions."
30. Reagan,"A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office."
31. Skincare,"Famed aesthetician Hope Goldman's skincare business faces sabotage when rival Angel Vergara opens a boutique across the street. Aided by friend Jordan, Hope seeks to uncover who's trying to ruin her reputation."
32. Frewaka,"Follow a student of nursing palliative care, who is plagued by a trauma from her past that has a disorienting effect on her present, her relationship, her career and her ability to function."
33. The Deliverance,"An Indiana family discovers strange, demonic occurrences that convince them and their community that the house is a portal to hell."
34. Don't Let's Go to the Dogs Tonight,Depicts 8-year-old Bobo's life on her family's Rhodesian farm during the Bush War's final stages. It explores the family's bond with Africa's land and the war's impact on the region and individuals through Bobo's perspective.
35. Lilies Not for Me,"A gay novelist and his psychiatric nurse bond over a series of ""dates"" prescribed to ""cure"" his homosexuality. He tells her how his previous relationship degenerated when his partner tried a risky procedure to become heterosexual."
36. The Bunker,"When mysterious alien ships appear in the sky, a scientist is sealed in an underground bunker and must create a bio-weapon to stop the unknown visitors, but paranoia and isolation cause her to question the true intention of her mission."
37. My Penguin Friend,"Inspired by a true story; an enchanting adventure about a lost penguin rescued from an oil spill, who transforms the life of a heartbroken fisherman. They soon become unlikely friends, so bonded that even the vast ocean cannot divide them."
38. The End,"In a luxurious bunker, a family maintains their pre-apocalyptic routines 25 years after Earth's ecological disaster made the surface uninhabitable."
39. Watchmen: Chapter I,"In 1985, the murder of a government sponsored superhero draws his outlawed colleagues out of retirement and into a mystery that threatens to upend their personal lives and the world itself."
40. Slingshot,"An astronaut struggles to maintain his grip on reality aboard a possibly fatally compromised mission to Saturn's moon, Titan."
41. The Radleys,"A seemingly ordinary family actually has a dark secret: they are vampires. They choose not to drink blood despite their natural cravings, but their truth is revealed one day."
42. Stree 2: Sarkate Ka Aatank,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones."
43. Sooryavansham,
44. Incoming,Four freshmen navigate the terrors of adolescence at their first-ever high school party.
45. Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
46. Cloud,"Yoshii, a young man who resells goods online, finds himself at the center of a series of mysterious events that put his life at risk."
47. Milk & Serial,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.
48. Bagman,"When a sinister threat from his childhood returns to haunt him, a father desperately struggles against his deepest inner fear. Only this time, the fight isn't for himself; it's for his family."
49. The Supremes at Earl's All-You-Can-Eat,"Lifelong friends, three women share an unbreakable bond after decades of weathering life's storms. Now, through new heartbreaks, the trio is put to the test as they face one of their most challenging moments."
50. Kill the Jockey,"Remo's self-destructive behavior overshadows his talent. Abril, an upcoming jockey is pregnant by Remo and has to decide between child or continuing to race. They both race for Sirena, a businessman who saved Remo's life in the past ."
51. Grafted,A bright but socially awkward exchange student takes her craving for popularity to horrifying heights.
52. The Piano Lesson,"Follows the lives of the Charles family as they deal with themes of family legacy and more, in deciding what to do with an heirloom, the family piano."
53. Apocalypse in the Tropics,An exploration of the profound impact of evangelism on Brazil's political landscape.
54. Inside,"Transferred from juvenile to adult prison, Mel is taken under the wing of both Shepard, Australia's most despised criminal, and Warren, a soon-to-be-paroled inmate. The paternal triangle that forms between them becomes their undoing."
55. Traumatika,Mikey's night terrors become reality when his mother begins showing signs of demonic possession. What he's about to experience will haunt him for the rest of his life and claim countless lives across generations.
56. Blink,"Chronicles a family's global trip before their children lose vision to a rare genetic disorder, capturing their journey to experience the world's beauty while they can still see it, and preparing for an inevitable future."
57. Alien: Rubicon,A series of alien spheres land on planet Earth destroying everything in their path with ease. It's up to a scientist and the President of the USA to find a way to stop the alien invasion.
58. Piece by Piece,"A vibrant journey through the life of Pharrell Williams, told through the lens of Lego animation."
59. Drive Back,A couple returning from their engagement party must escape a sinister and seemingly endless road.
60. Running on Empty,"Follows Mort who discovers he has less than a year to live, and after his fiancé leaves him, he meets Kate in a dating service that matches people by their death dates, all while being stalked by a disturbed pimp."
61. Gunner,"Lee Gunner tries to save his sons, Luke and Travis, from a dangerous drug gang."
62. One Fast Move,"A young man seeks out his estranged father to pursue his dream of becoming a professional motorcycle racer. With help from his love interest and a motorcycle shop owner, he begins to break down the walls his father's absence had created."
63. You Gotta Believe,"A Little League baseball team of misfits dedicates their season to a player's dying father. In doing so, they accomplish the impossible by reaching the World Series finals in a game that became an ESPN instant classic."
64. Lollipop,"Molly, a young woman released from prison, struggles to regain custody of her children. When she bumps into her childhood friend Amina the two women soon realize their only chance is to join forces and take destiny into their own hands."
